Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Home_Points,Away_Points,Goal_Diff,Home_Possession_Est,Away_Possession_Est,Home_Market_Wisdom,Away_Market_Wisdom,Home_xG_Avg_L5,Home_Streak_L5,Home_Pressure_Avg_L5,Home_Goal_Diff_L5,Home_Rest_Days,Home_Field_Tilt_L5,Home_Dominance_Avg_L5,Home_PDO_L5,Home_PPDA_Proxy_L5,Away_xG_Avg_L5,Away_Streak_L5,Away_Pressure_Avg_L5,Away_Goal_Diff_L5,Away_Rest_Days,Away_Field_Tilt_L5,Away_Dominance_Avg_L5,Away_PDO_L5,Away_PPDA_Proxy_L5,Home_H2H_L3,Away_H2H_L3,Home_FIFA_Ova,Home_FIFA_Att,Home_FIFA_Mid,Home_FIFA_Def,Home_Market_Value,Away_FIFA_Ova,Away_FIFA_Att,Away_FIFA_Mid,Away_FIFA_Def,Away_Market_Value,Diff_FIFA_Ova,Diff_FIFA_Att,Diff_FIFA_Mid,Diff_FIFA_Def,Log_Value_Diff,Home_Elo,Away_Elo,Home_Att_Strength,Away_Att_Strength,Home_Def_Weakness,Away_Def_Weakness,Home_Elo_Calc,Away_Elo_Calc,Elo_Diff
SP1,2025-08-22,Betis,Alaves,1,0,H,16,11,5,5,10,17,5,2,2,3,0,0,1.91,3.4,4.2,3,0,1,0.5,0.5,0.5235602094240838,0.23809523809523808,2.24,1.0,28.0,0.0,4.0,0.6818181508264477,0.75,0.75,0.4666666666666667,2.51,3.0,30.0,1.0,6.0,0.7575757346189171,0.9090909090909091,1.1666666666666667,0.5,1.5,1.5,79,79,79,79,219.8,71,71,71,71,69.5,8,8,8,8,1.1416446045847168,1504.2019499940866,1510.7980500059134,1.0,1.01,1.0,1.0,1504.2019499940866,1510.7980500059134,-6.59610001182682
SP1,2025-08-23,Mallorca,Celta,1,1,D,12,8,4,2,12,12,3,4,3,3,0,0,3.0,3.1,2.55,1,1,0,0.5,0.5,0.3333333333333333,0.3921568627450981,0.6499999999999999,0.0,28.0,-3.0,7.0,0.18918918407596802,0.3333333333333333,0.625,2.0,1.8599999999999999,0.0,36.0,-2.0,6.0,0.6060605876951337,0.75,0.33333333333333337,0.6842105263157895,1.5,1.5,75,75,75,75,80.6,76,76,76,76,146.4,-1,-1,-1,-1,-0.5913207177851749,1480.7980500059134,1480.7980500059134,0.99,0.99,1.02,1.01,1480.7980500059134,1480.7980500059134,0.0
SP1,2025-08-23,Ath Madrid,Elche,1,1,D,13,6,6,2,14,7,10,2,0,3,0,0,1.25,5.25,15.0,1,1,0,0.5,0.5,0.8,0.06666666666666667,2.51,0.0,28.0,-1.0,6.0,0.620689633769323,0.75,0.85,0.7333333333333333,1.12,1.0,28.0,0.0,5.0,0.3181818037190089,0.25,1.25,1.0,1.5,1.5,83,83,83,83,563.0,75,75,75,75,101.1,8,8,8,8,1.7091015263274398,1489.2019499940866,1495.7980500059134,1.0,1.0,1.01,1.0,1489.2019499940866,1495.7980500059134,-6.59610001182682
SP1,2025-08-23,Levante,Barcelona,2,3,A,8,26,5,10,10,8,0,11,3,1,0,0,11.0,6.0,1.25,0,3,-1,0.5,0.5,0.09090909090909091,0.8,1.5,0.0,28.0,-1.0,7.0,0.2424242350780535,0.09090909090909091,0.8333333333333333,1.6666666666666667,4.48,3.0,36.0,3.0,7.0,0.8108107888970058,0.6666666666666666,1.375,0.3684210526315789,1.5,1.5,75,75,75,75,87.9,84,84,84,84,1130.0,-9,-9,-9,-9,-2.543345333596262,1489.2019499940866,1519.2019499940866,1.0,1.02,1.01,0.99,1489.2019499940866,1519.2019499940866,-30.0
SP1,2025-08-24,Osasuna,Valencia,1,0,H,16,4,4,1,14,13,3,4,2,1,0,1,2.4,3.2,3.1,3,0,1,0.5,0.5,0.4166666666666667,0.3225806451612903,0.18,0.0,26.0,-1.0,5.0,0.07407407133058995,0.0,0.8,1.7857142857142858,2.1999999999999997,1.0,12.0,0.0,8.0,0.5652173790170135,0.5333333333333333,1.1666666666666667,2.857142857142857,1.5,1.5,77,77,77,77,88.5,75,75,75,75,160.0,2,2,2,2,-0.5871657397036536,1489.2019499940866,1495.7980500059134,0.99,1.0,1.0,1.0,1489.2019499940866,1495.7980500059134,-6.59610001182682
SP1,2025-08-24,Sociedad,Espanol,2,2,D,15,14,7,3,16,18,5,2,2,2,0,0,1.8,3.4,5.0,1,1,0,0.5,0.5,0.5555555555555556,0.2,2.04,1.0,26.0,0.0,8.0,0.43478259924385654,0.4666666666666667,0.8333333333333333,1.8571428571428572,2.3499999999999996,3.0,34.0,1.0,7.0,0.37931033174791956,0.25,1.15,1.0,1.5,1.5,79,79,79,79,246.7,75,75,75,75,102.7,4,4,4,4,0.8707162212598325,1504.2019499940866,1510.7980500059134,1.0,1.01,1.0,1.0,1504.2019499940866,1510.7980500059134,-6.59610001182682
SP1,2025-08-24,Villarreal,Girona,5,0,H,19,5,7,2,8,9,8,1,1,2,0,0,1.53,4.33,6.0,3,0,5,0.5,0.5,0.6535947712418301,0.16666666666666666,5.15,3.0,22.0,2.0,9.0,0.8536585157644265,0.9090909090909091,1.2,0.5,1.21,0.0,18.0,-2.0,9.0,0.3103448168846615,0.3333333333333333,0.9,2.0,1.5,1.5,79,79,79,79,263.8,76,76,76,76,146.5,3,3,3,3,0.5851466482829784,1510.7980500059134,1480.7980500059134,1.01,1.0,0.99,1.02,1510.7980500059134,1480.7980500059134,30.0
SP1,2025-08-24,Oviedo,Real Madrid,0,3,A,6,26,3,10,8,7,1,9,2,1,0,0,9.5,5.5,1.3,0,3,-3,0.5,0.5,0.10526315789473684,0.7692307692307692,1.6099999999999999,0.0,22.0,-2.0,9.0,0.14634145984533026,0.09090909090909091,0.8,2.9166666666666665,3.07,3.0,22.0,1.0,5.0,0.9259258916323744,1.0,1.2,0.16666666666666666,1.5,1.5,73,73,73,73,65.0,85,85,85,85,1350.0,-12,-12,-12,-12,-3.018945595933774,1489.2019499940866,1510.7980500059134,0.99,1.0,1.01,0.99,1489.2019499940866,1510.7980500059134,-21.59610001182682
SP1,2025-08-25,Ath Bilbao,Vallecano,1,0,H,11,6,4,1,13,13,3,6,0,4,0,0,1.7,3.5,5.5,3,0,1,0.5,0.5,0.5882352941176471,0.18181818181818182,2.13,3.0,16.0,1.0,8.0,0.6486486311176046,0.9090909090909091,1.6666666666666667,1.4444444444444444,2.8899999999999997,3.0,36.0,2.0,10.0,0.689655148632581,0.6666666666666666,1.1,0.47368421052631576,1.5,1.5,79,79,79,79,303.0,76,76,76,76,96.8,3,3,3,3,1.13410312436545,1510.7980500059134,1519.2019499940866,1.02,1.02,1.01,1.0,1510.7980500059134,1519.2019499940866,-8.40389998817318
SP1,2025-08-25,Sevilla,Getafe,1,2,A,12,9,3,6,10,24,5,3,2,2,0,0,2.25,3.0,3.6,0,3,-1,0.5,0.5,0.4444444444444444,0.2777777777777778,2.82,0.0,28.0,-1.0,8.0,0.35135134185536915,0.09090909090909091,0.3333333333333333,1.6,1.7699999999999998,3.0,38.0,2.0,8.0,0.3939393820018369,0.25,1.6666666666666665,1.0,1.5,1.5,80,80,80,80,131.6,76,76,76,76,68.6,4,4,4,4,0.644572510411388,1489.2019499940866,1519.2019499940866,1.01,1.01,1.02,0.99,1489.2019499940866,1519.2019499940866,-30.0
