Max_ratio,roi,n_bets,pos,n_seasons,bk,max_dd
1.1,0.03850299401197603,167,8,13,1064.3,-0.1369440397634759
1.15,0.057898550724637676,276,8,13,1159.8,-0.10595972718415068
1.2,0.04194444444444444,324,7,13,1135.9,-0.1968093149856345
1.25,0.033594202898550724,345,7,13,1115.9,-0.2011292537768962
1.3,0.030736543909348445,353,6,13,1108.5,-0.19494723869675723
1.4,0.030555555555555555,342,5,13,1104.5,-0.21388353258773626
1.5,0.02192419825072886,343,5,13,1075.2,-0.2305479984453945
1.75,0.02587209302325581,344,5,13,1089.0,-0.2281012074136738
