Kelly_frac,flat_roi,kelly_roi,n_bets,pos_seasons,total_seasons,max_dd,max_dd_kelly
0.05,0.02587209302325581,-0.019999410361789483,344,5,13,-0.2281012074136738,-0.2579968343709862
0.1,0.02587209302325581,-0.01707385947185689,344,5,13,-0.2281012074136738,-0.43541050823131
0.15,0.02587209302325581,-0.01153178562524608,344,5,13,-0.2281012074136738,-0.521863974378887
0.2,0.02587209302325581,-0.006537203070261134,344,5,13,-0.2281012074136738,-0.5635304220290484
0.25,0.02587209302325581,-0.004856334489765952,344,5,13,-0.2281012074136738,-0.6046381803982387
0.33,0.02587209302325581,0.0025210002048237923,344,5,13,-0.2281012074136738,-0.626212158758761
0.5,0.02587209302325581,0.014704372345431689,344,5,13,-0.2281012074136738,-0.6112318948308797
