Window,W_val,flat_roi,kelly_roi,n_bets,pos_seasons,total_seasons,max_dd,max_dd_kelly
expanding,99,0.0076685393258426994,-0.010570491236317689,356,4,13,-0.2237653052839181,-0.6232327376561484
sliding 3,3,0.048760563380281695,0.0364694565991394,355,6,13,-0.1541994750656168,-0.4240783390296442
sliding 4,4,-0.018184615384615382,-0.019048543202254888,325,3,13,-0.23877635386523352,-0.5665389191630769
sliding 5,5,0.02587209302325581,-0.004856334489765952,344,5,13,-0.2281012074136738,-0.6046381803982387
sliding 6,6,-0.024397590361445783,-0.036772525993699304,332,4,13,-0.28032826846510117,-0.7139327534969037
sliding 7,7,-0.011026392961876831,-0.02526408427482546,341,4,13,-0.25844358616155805,-0.6788622238208305
sliding 9,9,-0.010058309037900875,-0.019633540892573926,343,4,13,-0.24965075191059244,-0.6456453508988668
