Season,Date,HomeTeam,AwayTeam,Bet_Type,Odds,P_Model,EV,Won,Flat_Stake,Flat_Profit,Kelly_Stake,Kelly_Profit,Flat_BK,Kelly_BK
2012,2012-08-20,Vallecano,Granada,1,2.2,0.4890339833498581,0.0758747633696879,True,10.0,12.000000000000002,15.807242368684978,18.968690842421978,1012.0,1018.968690842422
2012,2012-09-01,La Coruna,Getafe,1,2.2,0.47981739103254367,0.05559826027159609,False,10.0,-10.0,11.802684683763438,-11.802684683763438,1002.0,1007.1660061586585
2012,2012-09-02,Ath Bilbao,Valladolid,1,2.0,0.5396695754112363,0.07933915082247256,True,10.0,10.0,19.976923916472284,19.976923916472284,1012.0,1027.1429300751308
2012,2012-09-16,Espanol,Ath Bilbao,1,2.2,0.5491536853275057,0.20813810772051267,False,10.0,-10.0,44.53908038007095,-44.53908038007095,1002.0,982.6038496950599
2012,2012-09-16,Osasuna,Mallorca,1,2.2,0.5026656221210658,0.10586436866634497,False,10.0,-10.0,21.671403374393254,-21.671403374393254,992.0,960.9324463206666
2012,2012-09-16,Granada,La Coruna,1,2.3,0.4776552529414369,0.09860708176530486,False,10.0,-10.0,18.22206621255316,-18.22206621255316,982.0,942.7103801081134
2012,2012-09-22,Zaragoza,Osasuna,1,2.25,0.4769723592087664,0.07318780821972437,True,10.0,12.5,13.798981301219214,17.248726626524018,994.5,959.9591067346374
2012,2012-09-23,Ath Bilbao,Malaga,1,2.2,0.4775066848066612,0.05051470657465473,False,10.0,-10.0,10.102510958409974,-10.102510958409974,984.5,949.8565957762276
2012,2012-09-29,Sociedad,Ath Bilbao,1,2.3,0.537584027161138,0.2364432624706172,True,10.0,12.999999999999998,43.18984468933953,56.14679809614138,997.5,1006.0033938723689
2012,2012-09-30,Granada,Celta,1,2.3,0.48536872971494943,0.11634807834438354,True,10.0,12.999999999999998,22.5089541701881,29.26164042124453,1010.5,1035.2650342936133
2012,2012-10-01,Getafe,Mallorca,1,2.1,0.6616934097757097,0.38955616052899034,True,10.0,11.0,51.76325171468068,56.93957688614875,1021.5,1092.2046111797622
2012,2012-10-06,Vallecano,La Coruna,1,2.3,0.4735293563137331,0.08911751952158609,True,10.0,12.999999999999998,18.718185722765153,24.333641439594697,1034.5,1116.5382526193569
