window,min_ev,filter,max_ratio,kill_switch,is_roi,is_bets,is_pos,is_seasons,is_bk
sliding_5,0.04,base,1.25,si,0.0682,264,5,8,1180.0
sliding_5,0.06,base,none,si,0.0667,248,5,8,1165.5
sliding_3,0.04,base,1.25,si,0.0659,239,6,8,1157.4
sliding_3,0.06,base+X[3.50-4.50),1.15,si,0.0649,227,4,8,1147.4
sliding_3,0.04,base,1.25,no,0.0644,320,6,8,1206.2
sliding_5,0.04,base+X[3.70-4.50),1.15,no,0.0642,327,4,8,1209.8
sliding_7,0.1,base+X[3.70-4.50),1.2,si,0.0638,183,4,8,1116.8
sliding_4,0.1,base+X[3.70-4.50),1.2,no,0.0637,176,3,8,1112.1
sliding_5,0.1,base+X[3.70-4.50),1.15,si,0.0636,107,3,8,1068.0
sliding_5,0.05,base,1.2,no,0.0635,279,5,8,1177.1
sliding_7,0.1,base,1.2,no,0.0633,169,5,8,1107.0
sliding_3,0.07,base,1.15,si,0.0632,142,6,8,1089.7
sliding_3,0.07,base+X[3.50-4.50),1.15,no,0.0632,233,5,8,1147.2
sliding_3,0.1,base+X[3.70-4.50),1.2,si,0.063,151,4,8,1095.2
sliding_5,0.06,base+X[3.70-4.50),1.15,no,0.0626,246,4,8,1154.1
sliding_5,0.05,base+X[3.70-4.50),none,si,0.0624,306,4,8,1190.9
sliding_5,0.04,base,1.2,no,0.062,315,5,8,1195.3
sliding_5,0.1,base,1.2,no,0.0619,162,7,8,1100.2
sliding_3,0.07,base+X[3.50-4.50),1.15,si,0.0615,204,4,8,1125.4
sliding_3,0.03,base,1.2,no,0.0613,312,6,8,1191.3
sliding_3,0.05,base+X[3.70-4.50),1.2,si,0.061,248,4,8,1151.4
sliding_3,0.04,base+X[3.50-4.50),1.25,si,0.0603,309,5,8,1186.4
sliding_5,0.1,base,1.25,si,0.0599,167,4,8,1100.0
expanding,0.05,base,1.2,no,0.0597,300,4,8,1179.2
sliding_9,0.05,base,1.2,no,0.0597,300,4,8,1179.2
sliding_5,0.04,base,1.15,si,0.0596,225,5,8,1134.1
sliding_5,0.04,base+X[3.70-4.50),1.2,si,0.0586,274,4,8,1160.6
sliding_4,0.06,solo_X[3.50-4.50),1.2,no,0.0585,117,5,8,1068.4
sliding_3,0.05,base+X[3.70-4.50),1.25,no,0.0583,376,5,8,1219.1
sliding_3,0.1,base+X[3.70-4.50),1.15,no,0.0582,112,3,8,1065.2
sliding_4,0.06,solo_X[3.50-4.50),none,si,0.0582,136,5,8,1079.2
sliding_3,0.1,base+X[3.70-4.50),1.15,si,0.0582,112,3,8,1065.2
sliding_5,0.07,base+X[3.70-4.50),1.2,no,0.058,296,5,8,1171.8
sliding_4,0.05,solo_X[3.50-4.50),1.2,si,0.058,121,4,8,1070.2
sliding_3,0.04,base,1.15,no,0.058,226,6,8,1131.0
sliding_3,0.05,base,1.15,si,0.0579,168,5,8,1097.3
sliding_3,0.05,base+X[3.50-4.50),1.2,no,0.0572,390,5,8,1222.9
sliding_3,0.06,base+X[3.70-4.50),1.15,no,0.0571,230,4,8,1131.4
sliding_5,0.07,base+X[3.70-4.50),none,si,0.0571,270,4,8,1154.2
sliding_5,0.06,base+X[3.70-4.50),1.2,si,0.0569,254,5,8,1144.6
sliding_3,0.05,base+X[3.50-4.50),1.15,si,0.0563,256,4,8,1144.1
sliding_3,0.1,base+X[3.70-4.50),none,si,0.056,190,5,8,1106.4
sliding_3,0.03,base+X[3.50-4.50),1.15,si,0.0552,321,4,8,1177.2
sliding_5,0.04,base+X[3.70-4.50),1.2,no,0.0552,413,4,8,1228.0
sliding_4,0.06,solo_X[3.50-4.50),none,no,0.0548,140,5,8,1076.7
sliding_3,0.06,base+X[3.70-4.50),none,si,0.0544,210,4,8,1114.2
sliding_5,0.05,base+X[3.70-4.50),1.15,no,0.0544,276,4,8,1150.1
sliding_9,0.05,base,1.2,si,0.0544,234,4,8,1127.2
sliding_3,0.04,base+X[3.50-4.50),1.15,no,0.0544,356,4,8,1193.7
expanding,0.05,base,1.2,si,0.0544,234,4,8,1127.2
sliding_3,0.06,base+X[3.70-4.50),1.2,no,0.0543,299,5,8,1162.5
sliding_3,0.1,base,1.25,si,0.0543,154,4,8,1083.6
