P_min,roi,n_bets,pos,n_seasons,bk,max_dd
0.35,0.02587209302325581,344,5,13,1089.0,-0.2281012074136738
0.38,0.02587209302325581,344,5,13,1089.0,-0.2281012074136738
0.4,0.02587209302325581,344,5,13,1089.0,-0.2281012074136738
0.42,0.02587209302325581,344,5,13,1089.0,-0.2281012074136738
0.45,0.029235294117647054,340,5,13,1099.4,-0.213314797652147
0.48,0.017634730538922155,334,6,13,1058.9,-0.21023502045399847
0.5,0.012818791946308722,298,6,13,1038.2,-0.19481287488383872
