EV_min,flat_roi,kelly_roi,n_bets,pos_seasons,total_seasons,max_dd,max_dd_kelly
0.02,-0.03176904176904177,-0.034049069646734535,407,4,13,-0.2813634862991085,-0.7286717615697695
0.03,-0.03999999999999999,-0.03745732183978554,386,4,13,-0.3015054478915412,-0.7838503921944939
0.04,-0.013437499999999995,-0.03007006074267326,352,4,13,-0.2761608894702419,-0.7481472612681864
0.05,0.02587209302325581,-0.004856334489765952,344,5,13,-0.2281012074136738,-0.6046381803982387
0.06,0.040948012232415905,0.009780119260476656,327,6,13,-0.18022633430188106,-0.48705930873744674
0.07,0.02631067961165048,0.005280121870847932,309,6,13,-0.1814373187238156,-0.4821813756342894
0.08,0.011027397260273976,0.005960874460439109,292,6,13,-0.1702707304614336,-0.43009507233483674
0.1,-0.006333333333333337,-0.011297144852453238,270,5,13,-0.1468637992831541,-0.45574563655964245
